Fecha,Temp_Max_Real,Humidity_Real,Wind_Speed_Real,Pressure_Real
2024-07-12,18.0,69.113125,16.668,1016.551948125
2024-07-13,20.0,64.94166666666666,16.668,1013.5676919375001
2024-07-14,22.0,63.75104166666667,18.52,1011.5146930000001
2024-07-15,22.0,74.27041666666666,20.372,1008.1424129583334
2024-07-16,22.0,75.57083333333334,24.076,1009.2641546458334
2024-07-17,24.0,64.49645833333334,14.816,1019.72668875
2024-07-18,28.0,59.90354166666666,16.668,1020.1499875
2024-07-19,31.0,58.86041666666667,16.668,1015.6841856875
2024-07-20,24.0,72.78625,18.52,1008.1635778958333
2024-07-21,24.0,65.36375,20.372,1009.863827875
2024-07-22,24.0,71.02895833333334,25.928,1014.4354543750001
2024-07-23,23.0,72.515,27.78,1017.483205375
2024-07-24,25.0,70.818125,22.224,1019.8325134375
2024-07-25,20.0,85.22354166666666,24.076,1011.2254388541668
2024-07-26,24.0,65.02333333333333,24.076,1010.5552158333334
2024-07-27,23.0,58.951875,20.372,1014.6894336250001
2024-07-28,25.0,55.68520833333333,22.224,1024.2983152499999
2024-07-29,27.0,61.2125,25.928,1020.784935625
2024-07-30,31.0,60.156666666666666,25.928,1016.4037935625
2024-07-31,28.0,61.083333333333336,29.632,1014.4142894375
2024-08-01,28.0,71.65541666666667,25.928,1012.4247853125001
2024-08-02,28.0,70.98958333333333,22.224,1011.5429129166668
2024-08-03,25.0,61.684583333333336,27.78,1011.0490643750001
2024-08-04,24.0,55.888958333333335,16.668,1014.9010830000001
2024-08-05,26.0,68.910625,20.372,1012.1708060625001
2024-08-06,24.0,73.32833333333333,22.224,1009.4616940625
2024-08-07,22.0,62.33375,25.928,1012.0014865625
2024-08-08,22.0,73.31854166666666,24.076,1013.4689222291667
2024-08-09,25.0,61.31916666666667,29.632,1013.5394720208333
2024-08-10,26.0,66.47416666666668,24.076,1019.261060125
2024-08-11,28.0,67.30541666666666,29.632,1019.4092146875
2024-08-12,33.0,66.04125,25.928,1008.5445467708333
2024-08-13,27.0,56.744166666666665,20.372,1009.2570996666667
2024-08-14,25.0,70.86627906976744,18.52,1013.0188801860467
2024-08-15,23.0,73.38729166666667,29.632,1014.30846475
2024-08-16,25.0,70.841875,16.668,1014.1179803125001
2024-08-17,23.0,54.812291666666674,16.668,1013.207888
2024-08-18,24.0,57.0375,18.52,1013.9909906875
2024-08-19,21.0,66.64979166666667,25.928,1015.3032168125001
2024-08-20,23.0,62.39791666666667,29.632,1009.5534087916667
2024-08-21,22.0,61.225208333333335,27.78,1016.297968875
2024-08-22,20.0,78.170625,29.632,1006.8795716875001
2024-08-23,23.0,61.56666666666666,37.04,1003.8741505625
2024-08-24,18.0,85.27270833333334,25.928,1005.4121360208334
2024-08-25,21.0,67.78145833333333,29.632,1017.52553525
